sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000085,119125,63309,55816,EC,44.432469,152.084127,196.516596,6.575308,5.088629,37
00,000086,119352,61157,58195,EC,156.191495,167.837557,324.029052,5.958142,3.086143,36
00,000087,119815,67141,52674,EC,56.859134,132.016349,188.875483,7.574819,5.294493,38
00,000088,120067,61611,58456,EC,70.196825,181.436928,251.633753,5.511557,3.974030,38
00,000089,120549,55554,64995,EC,227.949425,204.325463,432.274888,4.894153,2.313343,35
00,000090,120965,63574,57391,EC,79.842659,177.117786,256.960445,5.645960,3.891650,33
00,000091,121333,61427,59906,EC,95.023701,187.244119,282.267820,5.340622,3.542735,35
00,000092,121500,71322,50178,EC,87.141601,110.031713,197.173314,9.088289,5.071680,33
00,000093,121595,65993,55602,EC,76.949286,153.398196,230.347482,6.518981,4.341267,32
00,000094,121618,65796,55822,EC,78.206393,144.624993,222.831386,6.914434,4.487698,36
00,000095,121671,67417,54254,EC,75.963194,132.421995,208.385189,7.551616,4.798806,36
00,000096,121760,68570,53190,EC,91.341786,118.706343,210.048129,8.424150,4.760814,32
00,000097,121951,67909,54042,EC,118.050119,116.364132,234.414251,8.593713,4.265952,32
00,000098,122234,69023,53211,EC,106.824659,113.484495,220.309154,8.811776,4.539076,34
00,000099,122492,71997,50495,EC,133.210399,97.608821,230.819220,10.244976,4.332395,37
01,000000,122829,102327,20502,EC,130.620142,17.991456,148.611598,55.581938,6.728950,12
01,000001,122766,102606,20160,EC,107.440011,16.804572,124.244583,59.507615,8.048641,11
01,000002,122724,103733,18991,EC,97.104117,14.594205,111.698322,68.520348,8.952686,10
01,000003,122780,104347,18433,EC,137.463270,13.288158,150.751428,75.254975,6.633436,12
01,000004,122755,104762,17993,EC,109.818982,12.523662,122.342644,79.848849,8.173765,14
01,000005,122901,105237,17664,EC,119.239792,12.447265,131.687057,80.338934,7.593761,8
01,000006,122768,105445,17323,EC,108.928066,11.871196,120.799262,84.237511,8.278196,8
01,000007,122826,105845,16981,EC,117.751084,11.877546,129.628630,84.192475,7.714345,8
01,000008,122447,105657,16790,EC,121.260960,11.361976,132.622936,88.012860,7.540174,8
01,000009,122330,106200,16130,EC,115.806261,11.068626,126.874887,90.345450,7.881780,7
01,000010,122208,106530,15678,EC,109.418460,10.559481,119.977941,94.701624,8.334865,8
01,000011,122044,106816,15228,EC,132.804229,9.770465,142.574694,102.349274,7.013867,6
01,000012,122164,106795,15369,EC,146.882601,10.152808,157.035409,98.494919,6.367991,6
01,000013,122179,107437,14742,EC,130.018007,9.894755,139.912762,101.063644,7.147311,5
01,000014,122104,107510,14594,EC,113.929833,9.653105,123.582938,103.593611,8.091732,4
01,000015,122230,107796,14434,EC,132.816668,9.485207,142.301875,105.427325,7.027314,2
01,000016,122258,108176,14082,EC,137.422914,8.988988,146.411902,111.247228,6.830046,1
01,000017,122223,107264,14959,EC,109.482409,9.539288,119.021697,104.829627,8.401829,4
01,000018,122460,108097,14363,EC,129.252582,9.719282,138.971864,102.888259,7.195701,2
01,000019,122383,107701,14682,EC,109.918946,10.595845,120.514791,94.376616,8.297737,4
01,000020,122380,107735,14645,EC,106.085602,9.622413,115.708015,103.924037,8.642444,3
01,000021,122353,107518,14835,EC,113.089514,9.878637,122.968151,101.228540,8.132187,3
01,000022,122449,107888,14561,EC,129.341009,10.262861,139.603870,97.438716,7.163125,3
01,000023,122574,107684,14890,EC,127.807100,9.567580,137.374680,104.519638,7.279362,5
01,000024,122729,107862,14867,EC,143.457904,9.609449,153.067353,104.064239,6.533072,4
01,000025,122850,108092,14758,EC,127.369613,9.401654,136.771267,106.364263,7.311477,3
01,000026,122807,106328,16479,EC,140.525012,11.545230,152.070242,86.615858,6.575909,4
01,000027,122986,106317,16669,EC,121.837714,11.302223,133.139937,88.478169,7.510894,7
01,000028,123035,105984,17051,EC,90.892210,11.855970,102.748180,84.345693,9.732532,7
01,000029,122930,105525,17405,EC,90.640117,12.187960,102.828077,82.048185,9.724970,6
01,000030,122859,105545,17314,EC,108.668704,11.816147,120.484851,84.629956,8.299799,6
01,000031,123000,105595,17405,EC,125.098951,12.621497,137.720448,79.229904,7.261086,4
01,000032,123166,106131,17035,EC,154.349064,11.884334,166.233398,84.144387,6.015638,5
01,000033,123170,105791,17379,EC,152.892462,11.867262,164.759724,84.265435,6.069444,4
01,000034,123128,103735,19393,EC,138.721224,16.340465,155.061689,61.197769,6.449046,4
01,000035,123037,107937,15100,EC,111.387040,10.521204,121.908244,95.046156,8.202891,4
01,000036,123005,104369,18636,EC,85.758916,16.627555,102.386471,60.141133,9.766915,6
01,000037,123045,103678,19367,EC,92.092844,16.735640,108.828484,59.752719,9.188771,5
01,000038,122948,106858,16090,EC,118.199317,11.121639,129.320956,89.914805,7.732699,7
01,000039,122833,104234,18599,EC,144.050427,15.558401,159.608828,64.273957,6.265318,6
01,000040,122512,106211,16301,EC,129.791231,10.824116,140.615347,92.386297,7.111599,5
01,000041,122216,101564,20652,EC,96.013849,17.372021,113.385870,57.563826,8.819441,10
01,000042,122000,104243,17757,EC,142.014800,13.156346,155.171146,76.008947,6.444497,9
01,000043,121735,103983,17752,EC,117.071063,12.420336,129.491399,80.513120,7.722521,8
01,000044,121540,102599,18941,EC,110.815760,14.147321,124.963081,70.684761,8.002364,11
01,000045,121415,103393,18022,EC,109.074457,13.075230,122.149687,76.480490,8.186677,10
01,000046,121284,103149,18135,EC,86.443140,12.976116,99.419256,77.064662,10.058414,14
01,000047,121071,101924,19147,EC,71.228081,14.273240,85.501321,70.061177,11.695726,17
01,000048,120884,102097,18787,EC,92.498184,13.370225,105.868409,74.793057,9.445688,11
01,000049,120756,100763,19993,EC,110.445031,15.367711,125.812742,65.071500,7.948321,18
01,000050,120711,98758,21953,EC,88.542449,18.954176,107.496625,52.758822,9.302618,13
01,000051,120714,99678,21036,EC,91.965773,16.496308,108.462081,60.619625,9.219812,12
01,000052,120576,99336,21240,EC,154.831978,16.467733,171.299711,60.724813,5.837721,14
01,000053,120631,95778,24853,EC,152.352285,21.388203,173.740488,46.754746,5.755711,18
01,000054,120545,97425,23120,EC,88.632481,18.751078,107.383559,53.330267,9.312413,10
01,000055,120665,98774,21891,EC,98.722908,17.776219,116.499127,56.254933,8.583755,11
01,000056,120861,97661,23200,EC,79.404031,20.418128,99.822159,48.976086,10.017816,12
01,000057,120986,92343,28643,EC,84.654552,27.802738,112.457290,35.967681,8.892265,17
01,000058,121152,95346,25806,EC,82.771521,23.267745,106.039266,42.977951,9.430469,17
01,000059,121471,93922,27549,EC,86.247327,25.677765,111.925092,38.944199,8.934547,18
01,000060,121622,91752,29870,EC,76.659411,28.709444,105.368855,34.831744,9.490470,17
01,000061,121778,91156,30622,EC,72.535156,30.035797,102.570953,33.293606,9.749349,22
01,000062,122012,86455,35557,EC,87.568082,37.962445,125.530527,26.341823,7.966190,30
01,000063,122145,89447,32698,EC,78.445777,36.098901,114.544678,27.701674,8.730218,26
01,000064,122333,90062,32271,EC,77.144207,34.798535,111.942742,28.736842,8.933138,23
01,000065,122400,86439,35961,EC,73.856856,40.795565,114.652421,24.512468,8.722014,21
01,000066,122552,87604,34948,EC,65.839345,41.905001,107.744346,23.863500,9.281229,22
01,000067,122546,85634,36912,EC,196.738541,42.062384,238.800925,23.774211,4.187588,23
01,000068,122525,85990,36535,EC,201.092295,40.801919,241.894214,24.508651,4.134039,21
01,000069,122522,84552,37970,EC,147.257124,42.641219,189.898343,23.451487,5.265975,15
01,000070,122676,83614,39062,EC,227.953316,42.948144,270.901460,23.283893,3.691379,24
01,000071,122836,84153,38683,EC,204.395443,42.999888,247.395331,23.255875,4.042113,20
01,000072,122817,83873,38944,EC,188.729404,42.881870,231.611274,23.319879,4.317579,20
01,000073,122909,83466,39443,EC,192.917800,43.076911,235.994711,23.214292,4.237383,23
01,000074,122978,82343,40635,EC,112.821893,47.496078,160.317971,21.054370,6.237604,12
01,000075,123141,83320,39821,EC,143.632092,43.382713,187.014805,23.050656,5.347170,17
01,000076,123281,85594,37687,EC,154.066520,38.181670,192.248190,26.190578,5.201609,21
01,000077,123542,84057,39485,EC,102.259428,41.960260,144.219688,23.832073,6.933866,24
01,000078,123739,87707,36032,EC,62.997019,37.172649,100.169668,26.901500,9.983062,25
01,000079,123820,86645,37175,EC,104.292438,37.205107,141.497545,26.878030,7.067260,27
01,000080,124060,86614,37446,EC,120.595455,37.416443,158.011898,26.726218,6.328637,25
01,000081,124019,86709,37310,EC,72.605282,36.449963,109.055245,27.434870,9.169664,31
01,000082,124166,89721,34445,EC,59.674468,31.811276,91.485744,31.435394,10.930665,26
01,000083,124253,87589,36664,EC,67.477634,34.621562,102.099196,28.883734,9.794396,30
01,000084,124370,87669,36701,EC,78.616761,32.526401,111.143162,30.744256,8.997405,28
01,000085,124461,89709,34752,EC,59.422853,29.765606,89.188459,33.595822,11.212213,21
01,000086,124582,89812,34770,EC,64.905979,32.718398,97.624377,30.563844,10.243343,21
01,000087,124702,89794,34908,EC,69.619261,33.030508,102.649769,30.275041,9.741863,19
01,000088,124755,89116,35639,EC,93.107907,32.148398,125.256305,31.105749,7.983630,26
01,000089,124837,89051,35786,EC,85.927851,31.793706,117.721557,31.452766,8.494621,22
01,000090,124389,90178,34211,EC,82.579976,29.515767,112.095743,33.880197,8.920945,23
01,000091,124828,89679,35149,EC,60.594385,31.656835,92.251220,31.588755,10.839965,27
