sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000093,121595,65993,55602,FECunion,75.946332,15.676784,91.623116,63.788593,10.914276,34
00,000094,121618,65796,55822,FECunion,77.345006,15.335612,92.680618,65.207701,10.789742,36
00,000095,121671,67417,54254,FECunion,75.275336,15.767629,91.042965,63.421076,10.983825,37
00,000096,121760,68570,53190,FECunion,92.538497,14.796685,107.335182,67.582705,9.316610,33
00,000097,121951,67909,54042,FECunion,118.886119,15.413199,134.299318,64.879458,7.446054,34
00,000098,122234,69023,53211,FECunion,99.354509,15.506090,114.860599,64.490790,8.706206,37
00,000099,122492,71997,50495,FECunion,126.859832,14.540672,141.400504,68.772612,7.072111,39
01,000000,122829,102327,20502,FECunion,121.773394,8.364709,130.138103,119.549885,7.684145,12
01,000001,122766,102606,20160,FECunion,110.005975,8.073114,118.079089,123.867940,8.468900,12
01,000002,122724,103733,18991,FECunion,97.799619,7.866847,105.666466,127.115730,9.463740,10
01,000003,122780,104347,18433,FECunion,135.239679,7.758951,142.998630,128.883402,6.993074,13
01,000004,122755,104762,17993,FECunion,107.074785,8.078792,115.153577,123.780882,8.684055,13
01,000005,122901,105237,17664,FECunion,117.963106,7.429573,125.392679,134.597237,7.974947,7
01,000006,122768,105445,17323,FECunion,105.239247,9.012041,114.251288,110.962655,8.752637,6
01,000007,122826,105845,16981,FECunion,115.469434,7.147113,122.616547,139.916635,8.155506,8
01,000008,122447,105657,16790,FECunion,120.573124,7.206590,127.779714,138.761883,7.825968,6
01,000009,122330,106200,16130,FECunion,115.119878,7.057516,122.177394,141.692913,8.184820,6
01,000010,122208,106530,15678,FECunion,111.965857,6.686139,118.651996,149.563148,8.428008,5
01,000011,122044,106816,15228,FECunion,147.643504,6.634335,154.277839,150.731008,6.481812,6
01,000012,122164,106795,15369,FECunion,142.764630,6.798478,149.563108,147.091746,6.686141,5
01,000013,122179,107437,14742,FECunion,128.856636,6.438528,135.295164,155.315004,7.391247,4
01,000014,122104,107510,14594,FECunion,115.519258,6.477114,121.996372,154.389748,8.196965,3
01,000015,122230,107796,14434,FECunion,107.002996,6.402660,113.405656,156.185086,8.817902,2
01,000016,122258,108176,14082,FECunion,129.364996,7.612279,136.977275,131.366704,7.300481,1
01,000017,122223,107264,14959,FECunion,109.771209,6.827998,116.599207,146.455813,8.576388,4
01,000018,122460,108097,14363,FECunion,128.115635,6.642868,134.758503,150.537388,7.420682,1
01,000019,122383,107701,14682,FECunion,109.897075,6.743396,116.640471,148.293234,8.573354,3
01,000020,122380,107735,14645,FECunion,103.659363,6.812028,110.471391,146.799162,9.052117,3
01,000021,122353,107518,14835,FECunion,115.876558,6.724973,122.601531,148.699482,8.156505,3
01,000022,122449,107888,14561,FECunion,130.924830,6.779933,137.704763,147.494083,7.261913,3
01,000023,122574,107684,14890,FECunion,130.229199,6.964722,137.193921,143.580749,7.288953,5
01,000024,122729,107862,14867,FECunion,149.632657,6.769606,156.402263,147.719084,6.393769,4
01,000025,122850,108092,14758,FECunion,127.911842,6.890288,134.802130,145.131815,7.418280,3
01,000026,122807,106328,16479,FECunion,138.311267,7.507140,145.818407,133.206521,6.857845,4
01,000027,122986,106317,16669,FECunion,121.923574,7.496674,129.420248,133.392488,7.726766,7
01,000028,123035,105984,17051,FECunion,89.995442,7.646117,97.641559,130.785338,10.241541,7
01,000029,122930,105525,17405,FECunion,96.764963,7.963095,104.728058,125.579313,9.548540,6
01,000030,122859,105545,17314,FECunion,106.236156,7.826147,114.062303,127.776797,8.767138,6
