file,target_points,algorithm,max_n,points,run_id,total_ms,build_ms,search_ms,merge_ms,final_ms,clusters
seq00_static_150k.ply,150000,FEC,0,150000,7,115.699115,12.325728,28.630093,68.651669,4.584059,88
seq00_static_150k.ply,150000,FEC1,0,150000,1,49.814275,12.396584,28.226761,2.675901,4.271375,88
seq00_static_150k.ply,150000,FEC1,0,150000,2,48.244317,12.448282,26.394645,2.631947,4.475092,88
seq00_static_150k.ply,150000,FEC1,0,150000,3,47.295755,12.466205,25.859828,2.485129,4.399247,88
seq00_static_150k.ply,150000,FEC1,0,150000,4,48.587989,12.376155,26.835793,2.764288,4.399418,88
seq00_static_150k.ply,150000,FEC1,0,150000,5,54.457105,14.177683,29.707888,3.213929,4.547559,88
seq00_static_150k.ply,150000,FEC1,0,150000,6,52.719037,12.973478,29.429606,3.130026,4.407183,88
seq00_static_150k.ply,150000,FEC1,0,150000,7,51.346904,13.093115,28.306777,2.944674,4.313896,88
seq00_static_150k.ply,150000,FECunion,0,150000,1,43.218329,12.596652,25.712527,1.379279,0.738872,88
seq00_static_150k.ply,150000,FECunion,0,150000,2,43.955308,12.906892,26.274947,1.377420,0.697604,88
seq00_static_150k.ply,150000,FECunion,0,150000,3,43.422176,12.804918,25.875356,1.361402,0.715788,88
seq00_static_150k.ply,150000,FECunion,0,150000,4,44.544966,13.011740,26.650824,1.414228,0.708564,88
seq00_static_150k.ply,150000,FECunion,0,150000,5,44.303819,13.061925,26.176379,1.427997,0.752137,88
seq00_static_150k.ply,150000,FECunion,0,150000,6,45.156366,13.343660,26.784155,1.411398,0.744062,88
seq00_static_150k.ply,150000,FECunion,0,150000,7,43.281940,12.749433,25.669894,1.392531,0.702413,88
seq00_static_150k.ply,150000,FEC,50,150000,1,118.023355,12.918333,27.210202,71.657458,4.698826,88
seq00_static_150k.ply,150000,FEC,50,150000,2,115.315087,13.129160,27.381489,68.837701,4.474360,88
seq00_static_150k.ply,150000,FEC,50,150000,3,114.063552,13.196341,26.994937,67.797456,4.592435,88
seq00_static_150k.ply,150000,FEC,50,150000,4,113.639778,13.341476,27.782653,66.516714,4.491774,88
seq00_static_150k.ply,150000,FEC,50,150000,5,123.398124,13.435494,34.483957,69.456038,4.497484,88
seq00_static_150k.ply,150000,FEC,50,150000,6,115.924243,12.737711,29.934567,67.079584,4.673929,88
seq00_static_150k.ply,150000,FEC,50,150000,7,119.655803,12.741488,32.208696,68.427836,4.778447,88
seq00_static_150k.ply,150000,FEC1,50,150000,1,52.560306,14.108181,28.065410,3.039291,4.484139,88
seq00_static_150k.ply,150000,FEC1,50,150000,2,51.285918,12.691272,28.175458,3.036005,4.484400,88
seq00_static_150k.ply,150000,FEC1,50,150000,3,52.019800,13.163990,28.602343,3.052368,4.388627,88
seq00_static_150k.ply,150000,FEC1,50,150000,4,51.088443,12.803656,28.096633,3.000791,4.536778,88
seq00_static_150k.ply,150000,FEC1,50,150000,5,50.806317,12.831749,27.836316,2.961880,4.372316,88
seq00_static_150k.ply,150000,FEC1,50,150000,6,50.136938,12.747550,26.933968,2.735646,5.070261,88
seq00_static_150k.ply,150000,FEC1,50,150000,7,48.740769,12.643481,26.458253,2.671425,4.472677,88
seq00_static_150k.ply,150000,FECunion,50,150000,1,42.906657,12.632080,25.183340,1.353766,0.721469,88
seq00_static_150k.ply,150000,FECunion,50,150000,2,43.105776,12.869921,25.259364,1.385093,0.726138,88
seq00_static_150k.ply,150000,FECunion,50,150000,3,43.168554,13.599806,24.619546,1.428549,0.712953,88
seq00_static_150k.ply,150000,FECunion,50,150000,4,43.202519,13.204577,24.874257,1.389106,0.850273,88
seq00_static_150k.ply,150000,FECunion,50,150000,5,43.150901,13.002303,25.169185,1.378237,0.707212,88
seq00_static_150k.ply,150000,FECunion,50,150000,6,46.981441,13.378377,27.763172,1.379003,0.712713,88
seq00_static_150k.ply,150000,FECunion,50,150000,7,43.481129,13.184167,25.379181,1.351488,0.704227,88
seq00_static_200k.ply,200000,FEC,0,200000,1,194.259781,18.731553,44.464683,122.324792,6.624686,112
seq00_static_200k.ply,200000,FEC,0,200000,2,189.359669,18.604884,40.375384,121.820669,6.519547,112
seq00_static_200k.ply,200000,FEC,0,200000,3,194.246384,17.903304,45.156440,122.378714,6.796167,112
seq00_static_200k.ply,200000,FEC,0,200000,4,203.608274,19.962995,50.342564,124.529161,6.707421,112
seq00_static_200k.ply,200000,FEC,0,200000,5,196.884140,19.026153,47.995030,121.481781,6.365656,112
seq00_static_200k.ply,200000,FEC,0,200000,6,191.471430,19.299175,42.066902,121.837430,6.235959,112
seq00_static_200k.ply,200000,FEC,0,200000,7,187.829852,18.200842,38.860254,121.937886,6.797330,112
seq00_static_200k.ply,200000,FEC1,0,200000,1,67.465293,17.752880,37.073100,3.420301,6.037124,112
seq00_static_200k.ply,200000,FEC1,0,200000,2,68.277979,18.191470,36.950617,3.357864,6.797438,112
seq00_static_200k.ply,200000,FEC1,0,200000,3,67.840434,17.432652,37.637033,3.565301,6.105986,112
seq00_static_200k.ply,200000,FEC1,0,200000,4,68.135346,17.474298,37.927641,3.562685,6.097714,112
seq00_static_200k.ply,200000,FEC1,0,200000,5,67.541006,17.519817,37.479212,3.403933,6.175519,112
seq00_static_200k.ply,200000,FEC1,0,200000,6,66.129511,17.448192,36.440500,3.383536,5.992021,112
seq00_static_200k.ply,200000,FEC1,0,200000,7,65.875059,17.340363,36.170560,3.313411,6.190247,112
seq00_static_200k.ply,200000,FECunion,0,200000,1,60.149882,17.665437,36.034880,1.955624,0.976342,112
seq00_static_200k.ply,200000,FECunion,0,200000,2,61.250274,18.630669,36.177757,1.925641,0.955776,112
seq00_static_200k.ply,200000,FECunion,0,200000,3,58.914862,17.351827,35.312969,1.927611,0.968882,112
seq00_static_200k.ply,200000,FECunion,0,200000,4,58.631539,17.435373,34.913810,1.948765,0.938806,112
