file,target_points,algorithm,max_n,points,kept_runs,clusters_median,total_mean_ms,total_std_ms,total_min_ms,total_max_ms,build_mean_ms,build_std_ms,build_min_ms,build_max_ms,search_mean_ms,search_std_ms,search_min_ms,search_max_ms,merge_mean_ms,merge_std_ms,merge_min_ms,merge_max_ms,final_mean_ms,final_std_ms,final_min_ms,final_max_ms
seq00_static_550k.ply,550000,FECunion,0,550000,5,200,184.787895,3.710020,181.249545,190.216353,59.877624,1.251755,58.079936,61.013188,104.691254,2.310878,102.276007,108.171241,5.430266,0.078368,5.373370,5.562643,2.633483,0.031397,2.596625,2.672702
seq00_static_550k.ply,550000,FEC,50,550000,5,200,1075.626975,14.908704,1050.454598,1088.584826,62.480506,1.105447,61.272938,64.043835,126.036295,2.944790,123.478479,130.918479,861.421173,14.983052,837.095692,876.789521,20.054107,0.957754,18.734746,20.809209
seq00_static_550k.ply,550000,FEC1,50,550000,5,200,207.733973,3.195243,204.160086,212.615796,63.212512,1.612195,61.431486,64.709389,107.123920,1.647361,106.121916,110.044935,9.414679,0.234299,9.150987,9.685837,18.223455,0.548883,17.734193,18.856737
seq00_static_550k.ply,550000,FECunion,50,550000,5,200,183.802387,1.826524,181.744924,186.557303,61.168660,1.126798,59.662392,62.439744,102.413152,0.789660,101.453992,103.652509,5.496839,0.076221,5.431790,5.628520,2.834024,0.382986,2.587296,3.511936
seq00_static_600k.ply,600000,FEC,0,600000,5,221,1256.515249,18.431766,1232.171654,1277.135593,67.641430,2.104695,65.156109,70.832976,147.436131,2.974162,144.731499,151.474249,1013.122049,15.105263,991.753857,1031.675731,21.948466,1.018564,20.883056,23.483183
seq00_static_600k.ply,600000,FEC1,0,600000,5,221,221.514609,2.189973,218.096341,224.091131,64.424075,0.984013,62.813745,65.471562,117.989278,0.665042,116.835304,118.463569,10.249033,0.169341,10.070957,10.529043,18.834050,0.900292,17.853197,20.312372
seq00_static_600k.ply,600000,FECunion,0,600000,5,221,193.765516,2.074616,191.449921,196.207237,62.994285,0.828688,62.282759,64.143251,110.710440,1.379964,109.538550,112.867005,5.778790,0.083680,5.652863,5.880077,2.819016,0.067262,2.741764,2.890238
seq00_static_600k.ply,600000,FEC,50,600000,5,221,1236.340640,10.054450,1225.638409,1248.529454,64.667600,2.135698,61.794385,67.178698,142.201046,6.794410,133.569108,152.582002,1004.482854,7.594525,994.423491,1012.584826,19.434764,0.348582,19.105239,19.972960
seq00_static_600k.ply,600000,FEC1,50,600000,5,221,213.159658,0.966272,212.155446,214.701681,63.123453,0.386693,62.617302,63.514859,112.873191,0.704195,111.834280,113.729103,9.748950,0.139381,9.586006,9.959790,17.744607,0.251340,17.341285,17.968614
seq00_static_600k.ply,600000,FECunion,50,600000,5,221,200.819098,9.728893,192.845410,216.631036,65.108544,1.981215,63.665113,68.420182,114.270106,6.792110,107.862135,124.724441,5.934373,0.146225,5.738719,6.112003,3.013825,0.308486,2.830161,3.559256
seq00_static_650k.ply,650000,FEC,0,650000,5,225,1408.366838,50.239234,1339.157055,1450.989494,70.915212,4.247811,65.725248,77.097720,156.781560,5.541979,150.182263,162.902331,1153.905485,42.242913,1091.604804,1189.722732,20.851117,1.040871,19.465070,22.235317
seq00_static_650k.ply,650000,FEC1,0,650000,5,225,240.672171,2.469039,237.870155,244.223603,69.925611,1.679294,67.085018,71.465978,128.816093,2.732795,125.271550,131.581260,11.237748,0.645829,10.806394,12.372685,19.374806,0.854475,17.910198,20.101255
seq00_static_650k.ply,650000,FECunion,0,650000,5,225,196.319116,3.327833,192.595380,200.225519,62.918455,1.562454,60.802738,64.604606,112.758821,1.887776,109.992585,114.741285,5.673684,0.094591,5.540084,5.804729,2.811492,0.042390,2.752942,2.863950
seq00_static_650k.ply,650000,FEC,50,650000,5,225,1302.273845,9.814215,1288.150663,1309.761990,62.414590,1.136476,60.989401,63.988599,137.868457,6.224514,130.670158,144.520252,1077.939430,13.226213,1056.878622,1092.854757,18.512603,0.277044,18.155191,18.909702
